source	target	size_bytes	sha256	action
D:\Ovarian_AI_Target_Factory\results\daily_reports\new_dataset_registry_20260724.tsv	D:\Ovarian_AI_Target_Factory\ovarian_ai_target_factory\results_synced\daily_reports\20260724_230939_a6b57d7\new_dataset_registry_20260724.tsv	1012	53370b5a403af9796191be649c4f095180c9354c39f60cb85d39ea922c33eae8	unchanged
D:\Ovarian_AI_Target_Factory\results\daily_reports\Next_Action_Report_20260724.md	D:\Ovarian_AI_Target_Factory\ovarian_ai_target_factory\results_synced\daily_reports\20260724_230939_a6b57d7\Next_Action_Report_20260724.md	4343	5197778d3ad0f9684180ed7bcd5542f0d4f8298e6ca12f06f1ce0041aab88542	unchanged
D:\Ovarian_AI_Target_Factory\results\daily_reports\raw_geo_hits_20260724.tsv	D:\Ovarian_AI_Target_Factory\ovarian_ai_target_factory\results_synced\daily_reports\20260724_230939_a6b57d7\raw_geo_hits_20260724.tsv	1830	e4acc2c6c10a44954574d48a21b963a3664229693c9fea6d9e2a968dd623799a	unchanged
D:\Ovarian_AI_Target_Factory\results\daily_reports\refined_dataset_registry_20260724.tsv	D:\Ovarian_AI_Target_Factory\ovarian_ai_target_factory\results_synced\daily_reports\20260724_230939_a6b57d7\refined_dataset_registry_20260724.tsv	4068	e42d40d4456ef4bfafcfc0c77025575e50f6bb7e20995b045431c1e4d76594ed	unchanged
D:\Ovarian_AI_Target_Factory\results\daily_reports\refined_literature_digest_20260724.json	D:\Ovarian_AI_Target_Factory\ovarian_ai_target_factory\results_synced\daily_reports\20260724_230939_a6b57d7\refined_literature_digest_20260724.json	19193	cd9cb5576dad88aa66db58c45089b0f02f3f7d74d44ee0c6c32c2d627665cca1	unchanged
D:\Ovarian_AI_Target_Factory\results\scrna\GSE319733\20260724_230939_a6b57d7\bcr_basic_summary.tsv	D:\Ovarian_AI_Target_Factory\ovarian_ai_target_factory\results_synced\scrna\GSE319733\20260724_230939_a6b57d7\bcr_basic_summary.tsv	115	882e3eb315344bc2709a3ba8e3c7610d1c000f671b7d2054147c621d30c41f5d	unchanged
D:\Ovarian_AI_Target_Factory\results\scrna\GSE319733\20260724_230939_a6b57d7\celltype_marker_summary.tsv	D:\Ovarian_AI_Target_Factory\ovarian_ai_target_factory\results_synced\scrna\GSE319733\20260724_230939_a6b57d7\celltype_marker_summary.tsv	111	ad30ada15af16767b5cb16ac3acd934a526af98c608c84e069cef8d6e041751e	unchanged
D:\Ovarian_AI_Target_Factory\results\scrna\GSE319733\20260724_230939_a6b57d7\GSE319733_initial_summary.md	D:\Ovarian_AI_Target_Factory\ovarian_ai_target_factory\results_synced\scrna\GSE319733\20260724_230939_a6b57d7\GSE319733_initial_summary.md	668	0fa3bb028ac17b56c1a495ae09d7fcba39f9ae20deffd83c3cacca3d97bdd67c	unchanged
D:\Ovarian_AI_Target_Factory\results\scrna\GSE319733\20260724_230939_a6b57d7\key_gene_expression_by_tissue.tsv	D:\Ovarian_AI_Target_Factory\ovarian_ai_target_factory\results_synced\scrna\GSE319733\20260724_230939_a6b57d7\key_gene_expression_by_tissue.tsv	93	76336f1aa5060d98cb7a3deca003566079255dfa5d3e52e43aba0f091adc18c8	unchanged
D:\Ovarian_AI_Target_Factory\results\scrna\GSE319733\20260724_230939_a6b57d7\NOT_RUN_reason.txt	D:\Ovarian_AI_Target_Factory\ovarian_ai_target_factory\results_synced\scrna\GSE319733\20260724_230939_a6b57d7\NOT_RUN_reason.txt	344	6430eb071febb113f7d8eaadf2fb679b4d053f9561e2b251786209a7d1439de4	unchanged
D:\Ovarian_AI_Target_Factory\results\scrna\GSE319733\20260724_230939_a6b57d7\sample_manifest.tsv	D:\Ovarian_AI_Target_Factory\ovarian_ai_target_factory\results_synced\scrna\GSE319733\20260724_230939_a6b57d7\sample_manifest.tsv	123	9c2b5bbc2553b8205bd491aadee7ca7bcf2622ec5ec9a051dbfd6c742bc04043	unchanged
D:\Ovarian_AI_Target_Factory\results\scrna\GSE319733\20260724_230939_a6b57d7\sample_qc_summary.tsv	D:\Ovarian_AI_Target_Factory\ovarian_ai_target_factory\results_synced\scrna\GSE319733\20260724_230939_a6b57d7\sample_qc_summary.tsv	196	b732fe89cc8103e7d6df21d3389f52459572457129a8026c032dec5c728ad54a	unchanged
D:\Ovarian_AI_Target_Factory\results\scrna\GSE319733\20260724_230939_a6b57d7\status.json	D:\Ovarian_AI_Target_Factory\ovarian_ai_target_factory\results_synced\scrna\GSE319733\20260724_230939_a6b57d7\status.json	4788	d5ff5afa3d93c21d7988e1b3007b37246ef10d4111119c68a082e00decb4ed1d	unchanged
D:\Ovarian_AI_Target_Factory\results\scrna\GSE319733\20260724_230939_a6b57d7\supplementary_file_inventory.tsv	D:\Ovarian_AI_Target_Factory\ovarian_ai_target_factory\results_synced\scrna\GSE319733\20260724_230939_a6b57d7\supplementary_file_inventory.tsv	11964	3506b584ff9541a6d0758d221dfcc6bdc284e5ba2c5b2c19ec4919c181a358b7	unchanged
D:\Ovarian_AI_Target_Factory\results\target_factory\20260724_230939_a6b57d7\candidate_target_table.tsv	D:\Ovarian_AI_Target_Factory\ovarian_ai_target_factory\results_synced\target_factory\20260724_230939_a6b57d7\candidate_target_table.tsv	3175	2e0ca86cb8e52f06b32291bb14c0ad52f2c6088657bcf43f0306539bdad920da	unchanged
D:\Ovarian_AI_Target_Factory\results\target_factory\20260724_230939_a6b57d7\status.json	D:\Ovarian_AI_Target_Factory\ovarian_ai_target_factory\results_synced\target_factory\20260724_230939_a6b57d7\status.json	285	dc7e377f0ca15741d1aaf1edbc31c5e9014d5a37bd51ec9bc84b5e1ba5435a02	unchanged
D:\Ovarian_AI_Target_Factory\results\final_reports\20260724_230939_a6b57d7\Final_Execution_Report.md	D:\Ovarian_AI_Target_Factory\ovarian_ai_target_factory\results_synced\final_reports\20260724_230939_a6b57d7\Final_Execution_Report.md	3531	d1155de175437f7188c2fb7e083ddba8a3a2b6ed83e4f6e1c374113bb47b913c	unchanged
D:\Ovarian_AI_Target_Factory\results\final_reports\20260724_230939_a6b57d7\status.json	D:\Ovarian_AI_Target_Factory\ovarian_ai_target_factory\results_synced\final_reports\20260724_230939_a6b57d7\status.json	305	9cbf8916e5682d287566d92de52151c0b78abdf7c0c0e8ab7ef6885a17413421	unchanged
